StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,stroop_accuracy,stroop_trials_0,num_columns,(no name)
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,stroop_accuracy,stroop_trials_0,num_columns,(no name)
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""stroop_accuracy""}","{""ImportId"":""stroop_trials_0""}","{""ImportId"":""num_columns""}","{""ImportId"":""accura_CED5bmkx1s""}"
2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935546875,-77.02030181884765625,preview,EN,,,,
2022-03-10 18:55:36,2022-03-10 18:56:48,Survey Preview,,100,72,True,2022-03-10 18:56:50,R_AFqLSBY1jOcJ6sV,,,,,38.9091033935546875,-77.02030181884765625,preview,EN,,,,
2022-03-11 13:28:45,2022-03-11 13:30:11,Survey Preview,,100,86,True,2022-03-11 13:30:13,R_3PKWjGRYNRwLkH2,,,,,38.9091033935546875,-77.02030181884765625,preview,EN,0,,,
2022-03-11 13:37:03,2022-03-11 13:38:20,Survey Preview,,100,76,True,2022-03-11 13:38:32,R_3JIUfIZddPvNwLG,,,,,38.9091033935546875,-77.02030181884765625,preview,EN,0,,,
2022-03-20 18:44:01,2022-03-20 18:45:19,Survey Preview,,100,77,True,2022-03-20 18:45:20,R_1fa98K44IdyoBpf,,,,,39.90020751953125,-75.3527984619140625,preview,EN,100,,,
2022-03-20 18:47:49,2022-03-20 18:49:02,Survey Preview,,100,73,True,2022-03-20 18:49:04,R_1JF9q3nxJ4KrEPm,,,,,39.90020751953125,-75.3527984619140625,preview,EN,81,,,
2022-03-20 19:01:59,2022-03-20 19:17:17,Survey Preview,,100,918,True,2022-03-20 19:17:19,R_1OYOWV2xxcnEQr2,,,,,39.90020751953125,-75.3527984619140625,preview,EN,94,,,
2022-04-29 11:03:57,2022-04-29 11:04:44,Survey Preview,,100,46,True,2022-04-29 11:04:45,R_2RP3DrLwSNF0j08,,,,,39.9002,-75.3528,preview,EN,88,,1,
2022-04-29 11:06:41,2022-04-29 11:08:43,Survey Preview,,100,121,True,2022-04-29 11:08:44,R_2rURhMnft0kaa4W,,,,,39.9002,-75.3528,preview,EN,81,,1,
2022-04-29 11:15:07,2022-04-29 11:16:13,Survey Preview,,100,66,True,2022-04-29 11:16:15,R_3qfIx2aUXOimtVy,,,,,39.9002,-75.3528,preview,EN,94,,1,
